time,MEMORY,gen
1756209433.9959862,138700.0,1
1756209434.0066295,139200.0,2
1756209434.0150838,139420.0,3
1756209434.0231152,139548.0,4
1756209434.0305023,139676.0,5
1756209434.0394998,140076.0,6
1756209434.0472524,140168.0,7
1756209434.054604,140236.0,8
1756209434.0628667,140380.0,9
1756209434.0706306,140452.0,10
1756209434.0790591,140556.0,11
1756209434.087075,140628.0,12
1756209434.0991287,140692.0,13
1756209434.1120415,140804.0,14
1756209434.1234622,140860.0,15
1756209434.1358988,140936.0,16
1756209434.1462252,140980.0,17
1756209434.1542697,141056.0,18
1756209434.1621056,141128.0,19
1756209434.1699047,141184.0,20
1756209434.1800134,141328.0,21
1756209434.1881325,141380.0,22
1756209434.1956189,141436.0,23
1756209434.2047417,141532.0,24
1756209434.2122903,141592.0,25
1756209434.220229,141608.0,26
1756209434.2285242,141708.0,27
1756209434.2380617,141752.0,28
1756209434.2470727,141872.0,29
1756209434.2555656,141940.0,30
1756209434.2671483,142004.0,31
1756209434.27517,142036.0,32
1756209434.2842944,142108.0,33
1756209434.2922163,142148.0,34
1756209434.300714,142216.0,35
1756209434.309978,142324.0,36
1756209434.3189297,142408.0,37
1756209434.327138,142472.0,38
1756209434.3354743,142524.0,39
1756209434.3448656,142616.0,40
1756209434.3533876,142652.0,41
1756209434.362329,142740.0,42
1756209434.3710773,142804.0,43
1756209434.3806918,142916.0,44
1756209434.3895671,142980.0,45
1756209434.3985336,143048.0,46
1756209434.4074862,143124.0,47
1756209434.4155514,143180.0,48
1756209434.4248724,143268.0,49
1756209434.4333007,143320.0,50
